%Time,bubbleVolume,bubblepressure,bubblemass,oilmass,watermass
0,1.6425e-17,7.94629e-09,5.98451e-15,1.0004e-07,2.9606e-07
1.2e-12,1.6425e-17,7.94629e-09,5.98451e-15,1.0004e-07,2.9606e-07
2.64e-12,1.6425e-17,7.94629e-09,5.98451e-15,1.0004e-07,2.9606e-07
4.368e-12,1.6425e-17,7.94629e-09,5.98451e-15,1.0004e-07,2.9606e-07
6.4416e-12,1.6425e-17,7.94629e-09,5.98451e-15,1.0004e-07,2.9606e-07
8.92992e-12,1.6425e-17,7.94629e-09,5.98451e-15,1.0004e-07,2.9606e-07
1.19159e-11,1.6425e-17,7.94629e-09,5.98451e-15,1.0004e-07,2.9606e-07
1.54991e-11,1.64251e-17,7.9463e-09,5.98452e-15,1.0004e-07,2.9606e-07
1.97989e-11,1.64251e-17,7.9463e-09,5.98452e-15,1.0004e-07,2.9606e-07
2.49587e-11,1.64251e-17,7.9463e-09,5.98453e-15,1.0004e-07,2.9606e-07
3.11504e-11,1.64251e-17,7.9463e-09,5.98453e-15,1.0004e-07,2.9606e-07
3.85805e-11,1.64252e-17,7.9463e-09,5.98455e-15,1.0004e-07,2.9606e-07
4.74965e-11,1.64252e-17,7.9463e-09,5.98456e-15,1.0004e-07,2.9606e-07
5.81958e-11,1.64253e-17,7.9463e-09,5.98459e-15,1.0004e-07,2.9606e-07
7.1035e-11,1.64255e-17,7.94631e-09,5.98463e-15,1.0004e-07,2.9606e-07
8.6442e-11,1.64257e-17,7.94631e-09,5.98468e-15,1.0004e-07,2.9606e-07
1.0493e-10,1.6426e-17,7.94632e-09,5.98476e-15,1.0004e-07,2.9606e-07
1.27117e-10,1.64265e-17,7.94633e-09,5.98488e-15,1.0004e-07,2.9606e-07
1.5374e-10,1.64272e-17,7.94634e-09,5.98504e-15,1.0004e-07,2.9606e-07
1.85688e-10,1.64282e-17,7.94636e-09,5.98528e-15,1.0004e-07,2.9606e-07
2.24026e-10,1.64296e-17,7.94638e-09,5.98563e-15,1.0004e-07,2.9606e-07
2.70031e-10,1.64317e-17,7.94642e-09,5.98613e-15,1.0004e-07,2.9606e-07
3.25237e-10,1.64347e-17,7.94385e-09,5.98488e-15,1.0004e-07,2.9606e-07
3.91485e-10,1.6437e-17,7.94179e-09,5.98459e-15,1.0004e-07,2.9606e-07
4.70983e-10,1.64403e-17,7.93903e-09,5.98436e-15,1.0004e-07,2.9606e-07
5.66376e-10,1.6445e-17,7.93519e-09,5.98414e-15,1.0004e-07,2.9606e-07
6.80846e-10,1.64519e-17,7.92976e-09,5.98389e-15,1.0004e-07,2.9606e-07
8.18209e-10,1.64619e-17,7.92203e-09,5.98358e-15,1.0004e-07,2.9606e-07
9.83036e-10,1.64764e-17,7.91107e-09,5.98317e-15,1.0004e-07,2.9606e-07
1.18082e-09,1.64975e-17,7.89555e-09,5.9826e-15,1.0004e-07,2.9606e-07
1.41818e-09,1.65284e-17,7.87371e-09,5.98181e-15,1.0004e-07,2.9606e-07
1.703e-09,1.65738e-17,7.8463e-09,5.98406e-15,1.0004e-07,2.9606e-07
2.04072e-09,1.66332e-17,7.80694e-09,5.98404e-15,1.0004e-07,2.9606e-07
2.42455e-09,1.67167e-17,7.75713e-09,5.98481e-15,1.0004e-07,2.9606e-07
2.83223e-09,1.6826e-17,7.69954e-09,5.98681e-15,1.0004e-07,2.9606e-07
3.19883e-09,1.69451e-17,7.64462e-09,5.99009e-15,1.0004e-07,2.9606e-07
3.53742e-09,1.70737e-17,7.59051e-09,5.99289e-15,1.0004e-07,2.9606e-07
3.85497e-09,1.72115e-17,7.53684e-09,5.99472e-15,1.0004e-07,2.9606e-07
4.15619e-09,1.73585e-17,7.4837e-09,5.99568e-15,1.0004e-07,2.9606e-07
4.44442e-09,1.75147e-17,7.43117e-09,5.99587e-15,1.0004e-07,2.9606e-07
4.72212e-09,1.76801e-17,7.37944e-09,5.99553e-15,1.0004e-07,2.9606e-07
4.99104e-09,1.78548e-17,7.32865e-09,5.99486e-15,1.0004e-07,2.9606e-07
5.25255e-09,1.80387e-17,7.27888e-09,5.99399e-15,1.0004e-07,2.9606e-07
5.5078e-09,1.82319e-17,7.23026e-09,5.99314e-15,1.0004e-07,2.9606e-07
5.75761e-09,1.84343e-17,7.18263e-09,5.99217e-15,1.0004e-07,2.9606e-07
6.00268e-09,1.86457e-17,7.13618e-09,5.99136e-15,1.0004e-07,2.9606e-07
6.24359e-09,1.8866e-17,7.09079e-09,5.99063e-15,1.0004e-07,2.9606e-07
6.48082e-09,1.90951e-17,7.04642e-09,5.98996e-15,1.0004e-07,2.9606e-07
6.71476e-09,1.93328e-17,7.003e-09,5.98933e-15,1.0004e-07,2.9606e-07
6.94581e-09,1.95789e-17,6.96054e-09,5.9888e-15,1.0004e-07,2.9606e-07
7.17436e-09,1.98333e-17,6.91895e-09,5.98833e-15,1.0004e-07,2.9606e-07
7.40077e-09,2.00959e-17,6.87818e-09,5.98793e-15,1.0004e-07,2.9606e-07
7.62544e-09,2.03666e-17,6.83817e-09,5.98757e-15,1.0004e-07,2.9606e-07
7.8487e-09,2.06453e-17,6.79884e-09,5.9872e-15,1.0004e-07,2.9606e-07
8.07096e-09,2.09322e-17,6.76014e-09,5.98686e-15,1.0004e-07,2.9606e-07
8.29198e-09,2.12266e-17,6.72213e-09,5.98658e-15,1.0004e-07,2.9606e-07
8.51211e-09,2.15284e-17,6.68381e-09,5.98476e-15,1.0004e-07,2.9606e-07
8.73161e-09,2.18389e-17,6.64674e-09,5.98425e-15,1.0004e-07,2.9606e-07
